2D Materials	2D Mater.
"Quarterly Journal of Science, Literature, and the Arts"	Q. J. Sci. Lit. Arts
Quarterly Journal of Studies on Alcohol	Q. J. Stud. Alcohol
Quarterly Journal of the Chemical Society	Q. J. Chem. Soc.
Quarterly Journal of the Geological Society of London	Q. J. Geol. Soc. London
Quarterly Journal of the Royal Astronomical Society	Q. J. R. Astron. Soc.
Quarterly Journal of the Royal Meteorological Society	Q. J. R. Meteorolog. Soc.
Quarterly of Applied Mathematics	Q. Appl. Math.
Quarterly of Magnetic Resonance in Biology and Medicine	Q. Magn. Reson. Biol. Med.
Quarterly Reviews of Biology	Q. Rev. Biol.
Quarterly Reviews of Biophysics	Q. Rev. Biophys.
"Quarterly Reviews, Chemical Society"	Q. Rev. Chem. Soc.
Quaternary Geochronology	Quat. Geochronol.
Quaternary International	Quat. Int.
Quaternary Research	Quat. Res.
Quaternary Science Advances	Quat. Sci. Adv.
Quaternary Science Reviews	Quat. Sci. Rev.
Quimica Analitica	Quim. Anal. (Barcelona)
Quimica no Brasil	Quim. Bras.
Quimica Nova	Quim. Nova
R Journal	R J.
RAD Conference Proceedings	RAD Conf. Proc.
Radiation and Environmental Biophysics	Radiat. Environ. Biophys.
Radiation Biology	Radiat. Biol.
Radiation Detection Technology and Methods	Radiat. Detect. Technol. Methods
Radiation Effects and Defects in Solids	Radiat. Eff. Defects Solids
Radiation Measurements	Radiat. Meas.
Radiation Medicine and Protection	Radiat. Med. Prot.
Radiation Physics and Chemistry	Radiat. Phys. Chem.
Radiation Protection Dosimetry	Radiat. Prot. Dosim.
Radiation Research	Radiat. Res.
Radio and Electronic Engineer	Radio Electron. Eng.
Radio Physics and Radio Astronomy	Radio Phys. Radio Astron.
Radio Science	Radio Sci.
"Radiobiologia, Radiotherapia"	Radiobiol. Radiother.
Radiochimica Acta	Radiochim. Acta
Radiology of Infectious Diseases	Radiol. Infect. Dis.
Radiology: Artifical Intelligence	Radiol. Artif. Intell.
Radiology: Cardiothoracic Imaging	Radiol. Cardiothorac. Imaging
Radiology: Imaging Cancer	Radiol. Imaging Cancer
Radiophysics and Quantum Electronics	Radiophys. Quantum Electron.
Raffles Bulletin of Zoology	Raffles Bull. Zool.
RAIRO - Operations Research	RAIRO Oper. Res.
RAIRO - Theoretical Informatics and Applications	RAIRO Theor. Inf. Appl.
Random Structures and Algorithms	Random Struct. Algorithms
Range Management and Agroforestry	Range Manage. Agrofor.
Rangeland Ecology & Management	Rangeland Ecol. Manage.
Rangeland Journal	Rangeland J.
RAP Bulletin of Biological Assessment	RAP Bull. Biol. Assess.
Rapid Communications in Mass Spectrometry	Rapid Commun. Mass Spectrom.
Rapid Prototyping Journal	Rapid Prototyping J.
RAPRA Review Reports	Rapra Rev. Rep.
Rare Metals	Rare Met.
Rare Metals Materials And Engineering	Rare Met. Mater. Eng.
RAS Techniques and Instruments	RAS Tech. Instrum.
Rasayan Journal of Chemistry	Rasayan J. Chem.
Re:GEN Open	Re:GEN Open
REACH - Reviews in Human Space Exploration	REACH Rev. Hum. Space Explor.
Reaction Chemistry & Engineering	React. Chem. Eng.
Reaction Kinetics and Catalysis Letters	React. Kinet. Catal. Lett.
Reaction Kinetics Mechanisms and Catalysis	React. Kinet. Mech. Catal.
Reactive and Functional Polymers	React. Funct. Polym.
Reactive Polymers	React. Polym.
Reactivity of Solids	React. Solids
Recent Advances in DNA & Gene Sequences	Recent Adv. DNA Gene Sequences
Recent Advances in Electrical and Electronic Engineering	Recent Adv. Electr. Electron. Eng.
Recent Innovations in Chemical Engineering	Recent Innovations Chem. Eng.
Recent Patents on CNS Drug Discovery	Recent Pat. CNS Drug Discovery
Recent Patents on Engineering	Recent Pat. Eng.
Recent Patents on Mechanical Engineering	Recent Pat. Mech. Eng.
Recent Patents on Nanotechnology	Recent Pat. Nanotechnol.
Records of Natural Products	Rec. Nat. Prod.
Records of the Australian Museum	Rec. Aust. Mus.
Recueil des Travaux Chimiques des Pays-Bas	Recl. Trav. Chim. Pays-Bas
Redox Biology	Redox Biol.
Redox Experimental Biology	Redox Exp. Biol.
Redox Report	Redox Rep.
Refractories and Industrial Ceramics	Refract. Ind. Ceram
Refrigeration Science and Technology	Refrig. Sci. Technol.
Regenerative Biomaterials	Regener. Biomater.
Regenerative Engineering and Translational Medicine	Regener. Eng. Transl. Med.
Regenerative Medicine Research	Regener. Med. Res.
Regional Environmental Change	Reg. Environ. Change
Regional Studies in Marine Science	Reg. Stud. Mar. Sci.
Regional Sustainability	Regional Sustainability
Regular and Chaotic Dynamics	Regul. Chaotic Dyn.
Regulated Rivers: Research & Management	Regul. Rivers: Res. Manage.
Regulatory Peptides	Regul. Pept.
Regulatory Toxicology and Pharmacology	Regul. Toxicol. Pharm.
Reinforced Plastics	Reinf. Plast.
Reinforced Plastics and Composites World	Reinf. Plast. Compos. World
Rejuvenation Research	Rejuvenation Res.
Reliability Engineering	Reliab. Eng.
Reliability Engineering & System Safety	Reliab. Eng. Syst. Saf.
Remediation Journal	Rem. J.
Remote Sensing	Remote Sens.
Remote Sensing Applications: Society and Environment	Remote Sens. Appl.: Soc. Environ.
Remote Sensing in Earth Systems Sciences	Remote Sens. Earth Syst. Sci.
Remote Sensing in Ecology and Conservation	Remote Sens. Ecol. Conserv.
Remote Sensing Letters	Remote Sens. Lett.
Remote Sensing of Environment	Remote Sens. Environ.
Rendiconti Lincei-Matematica e Applicazioni	Rend. Lincei-Mat. Appl.
Rendiconti Online Societa Geologica Italiana	Rend. Online Soc. Geol. Ital.
Renewable Agriculture and Food Systems	Renewable Agric. Food Syst
Renewable and Sustainable Energy Reviews	Renewable Sustainable Energy Rev.
Renewable and Sustainable Energy Transition	Renewable Sustainable Energy Transition
Renewable Energy	Renewable Energy
Renewable Energy and Environmental Sustainability	Renewable Energy Environ. Sustainability
Renewable Energy Focus	Renewable Energy Focus
Renewable Resources Journal	Renewable Resour. J.
Reports in Medical Imaging	Rep. Med. Imaging
Reports on Mathematical Physics	Rep. Math. Phys.
Reports on Progress in Physics	Rep. Prog. Phys.
Reproduction Fertility and Development	Reprod. Fertil. Dev.
Reproduction in Domestic Animals	Reprod. Domest. Anim.
Reproductive Biology	Reprod. Biol.
Reproductive Medicine and Biology	Reprod. Med. Biol.
Reproductive Toxicology	Reprod. Toxicol.
Research & Reviews in Polymer	Res. Rev. Polym.
Research and Reports in Forensic Medical Science	Res. Rep. Forensic Med. Sci.
Research Communications in Molecular Pathology and Pharmacology	Res. Commun. Mol. Pathol. Pharmacol.
Research Communications in Substances of Abuse	Res. Commun. Subst. Abuse
Research Evaluation	Res. Eval.
Research Ideas & Outcomes	Res. Ideas Outcomes
Research in Astronomy and Astrophysics	Res. Astron. Astrophys.
Research in Diagnostic and Interventional Imaging	Res. Diagn. Interventional Imaging
Research in Engineering Design	Res. Eng. Des.
Research in Microbiology	Res. Microbiol.
Research in Nondestructive Evaluation	Res. Nondestr. Eval.
Research in the Mathematical Sciences	Res. Math. Sci.
Research in Veterinary Science	Res. Vet. Sci.
Research Integrity and Peer Review	Res. Integrity Peer Rev.
Research Journal of Chemistry and Environment	Res. J. Chem. Environ
Research Journal of Environmental Sciences	Res. J. Environ. Sci.
Research Journal of Textile and Apparel	Res. J. Text. Apparel
Research Methods in Medicine & Health Sciences	Res. Methods Med. Health Sci.
Research Notes of the AAS	Res. Notes AAS
Research on Biomedical Engineering	Res. Biomed. Eng.
Research on Chemical Intermediates	Res. Chem. Intermed.
Research Results in Pharmacology	Res. Results Pharmacol.
Research Synthesis Methods	Res. Synth. Methods
Residue Reviews	Residue Rev.
Resource Conservation	Resour. Conserv.
Resource Engineering and Technology for Sustainable World	Resour. Eng. Technol. Sustainable World
Resource Geology	Resour. Geol.
Resource Recovery and Conservation	Resour. Recovery Conserv.
Resource-Efficient Technologies	Resour.-Effic. Technol.
Resources Chemicals and Materials	Resour. Chem. Mater.
Resources Policy	Resour. Policy
"Resources, Conservation & Recycling Advances"	Resour. Conserv. Recyl. Adv.
"Resources, Conservation and Recycling"	Resour. Conserv. Recycl.
"Resources, Conservation and Recycling: X"	Resour. Conserv. Recycl.: X
"Resources, Environment and Sustainability"	Resour. Environ. Sustainability
Respiratory Physiology & Neurobiology	Respir. Physiol. Neurobiol.
Restoration Ecology	Restor. Ecol.
Restorative Neurology and Neuroscience	Restor. Neurol. Neurosci.
Results in Applied Mathematics	Results Appl. Math.
Results in Chemistry	Results Chem.
Results in Control and Optimization	Results Control Optim.
Results in Engineering	Results Eng.
Results in Geochemistry	Results in Geochem.
Results in Geophysical Sciences	Results Geophys. Sci.
Results in Materials	Results Mater.
Results in Mathematics	Results Math.
Results in Optics	Results Opt.
Results in Pharma Sciences	Results Pharma Sci.
Results in Physics	Results Phys.
Results in Surfaces and Interfaces	Results Surf. Interfaces
Rethinking Ecology	Rethinking Ecol.
Review Journal of Chemistry	Rev. J. Chem.
Review of Automotive Engineering	Rev. Automot. Eng.
Review of Palaeobotany and Palynology	Rev. Palaeobot. Palynol.
Review of Physical Chemistry of Japan	Rev. Phys. Chem. Jpn.
Review of Physics in Technology	Rev. Phys. Technol.
Review of Progress in Coloration and Related Topics	Rev. Prog. Color. Relat. Top.
Review of Scientific Instruments	Rev. Sci. Instrum.
Review of Symbolic Logic	Rev. Symb. Log.
Review of the Activities Metallgesellschaft AG	Rev. Act. Metallges. AG
Reviews in Analytical Chemistry	Rev. Anal. Chem
Reviews in Aquaculture	Rev. Aquacult.
Reviews in Chemical Engineering	Rev. Chem. Eng.
Reviews in Computational Chemistry	Rev. Comput. Chem.
Reviews in Conservation	Rev. Conserv.
Reviews in Environmental Science and Biotechnology	Rev. Environ. Sci. Biotechnol.
Reviews in Environmental Toxicology	Rev. Environ. Toxicol.
Reviews in Fish Biology and Fisheries	Rev. Fish Biol. Fish.
Reviews in Fisheries Science & Aquaculture	Rev. Fish. Sci. Aquacult.
Reviews in Inorganic Chemistry	Rev. Inorg. Chem.
Reviews in Mathematical Physics	Rev. Math. Phys.
Reviews in Medical Virology	Rev. Med. Virol.
Reviews in Mineralogy and Geochemistry	Rev. Mineral. Geochem.
Reviews in Molecular Biotechnology	Rev. Mol. Biotechnol.
Reviews in Physics	Rev. Phys.
Reviews in the Neurosciences	Rev. Neurosci.
Reviews in Toxicology	Rev. Toxicol.
Reviews of Accelerator Science and Technology	Rev. Accel Sci. Technol.
Reviews of Environment Contamination and Toxicology	Rev. Environ. Contam. Toxicol.
Reviews of Geophysics	Rev. Geophys.
Reviews of Geophysics and Space Physics	Rev. Geophys. Space Phys.
Reviews of Human Factors and Ergonomics	Rev. Hum. Factors Ergon.
Reviews of Modern Physics	Rev. Mod. Phys.
Reviews of Modern Plasma Physics	Rev. Mod. Plasma Phys.
Reviews of Physiology Biochemistry and Pharmacology	"Rev. Physiol., Biochem. Pharmacol."
Reviews on Advanced Materials Science	Rev. Adv. Mater. Sci.
Reviews on Environmental Health	Rev. Environ. Health
Revista Arvore	Rev. Arvore
Revista Boliviana de Quimica	Rev. Boliv. Quim.
Revista Brasileira de Aplicacoes de Vacuo	Rev. Bras. Apl. Vacuo
Revista Brasileira de Engenharia Agricola e Ambiental	Rev. Bras. Eng. Agric. Ambiental
Revista Brasileira de Ensino de Quimica	Rev. Bras. Ensino Quim.
Revista Brasileira de Entomologia	Rev. Bras. Entomol.
Revista Brasileira de Fisica	Rev. Bras. Fis.
Revista Brasileira de Geofisica	Rev. Bras. Geofis.
Revista Brasileira de Oceanografia	Rev. Bras. Oceangr.
Revista Chilena de Historia Natural	Rev. Chil. Hist. Nat.
Revista Colombiana de Entomologia	Rev. Colomb. Entomol.
Revista Colombiana de Quimica	Rev. Colomb. Quim.
Revista de Chimie	Rev. Chim.
Revista de la Construccion	Rev. Constr.
Revista de la Sociedad Quimica de Mexico	Rev. Soc. Quim. Mex.
Revista de la Sociedad Quimica del Peru	Rev. Soc. Quim. Peru
"Revista de Metalurgia (Madrid, Spain)"	Rev. Metal.
Revista de Plasticos Modernos	Rev. Plast. Mod.
Revista de Quimica Textil	Rev. Quim. Text.
Revista del Instituto Mexicano de Ingenieros Quimicos	Rev. Inst. Mex. Ing. Chim.
Revista del Instituto Mexicano del Petroleo	Rev. Inst. Mex. Pet.
Revista Fitotecnia Mexicana	Rev. Fitotec. Mex.
Revista Geofisica	Rev. Geofis.
Revista Geologica de Chile	Rev. Geol. Chile
Revista IEEE America Latina	Rev. IEEE Am. Lat.
Revista Ingenierias Univsidad de Medellin	Rev. Ing. Univ. Medellin
Revista Internacional de Metodos Numericos para Calculo y Diseno en Ingenieria	Rev. Int. Metodos Numer. Calc. Diseno Ing.
Revista Latinoamericana de Ingenieria Quimica y Quimica Aplicada	Rev. Latinoam. Ing. Quim. Quim. Apl.
Revista Latinoamericana de Quimica	Rev. Latinoam. Quim.
Revista Matematica Complutense	Rev. Mat. Complutense
Revista Matematica Iberoamericana	Rev. Mat. Iberoam.
Revista Mexicana de Astronomia y Astrofisica	Rev. Mex. Astron. Astrofis.
Revista Mexicana de Biodiversidad	Rev. Mex. Biodivers.
Revista Mexicana de Ciencias Farmaceuticas	Rev. Mex. Cienc. Farm.
Revista Mexicana de Ciencias Pecuarias	Rev. Mex. Cienc. Pecu.
Revista Mexicana de Fisica	Rev. Mex. Fis.
Revista Mexicana de Ingenieria Quimica	Rev. Mex. Ing. Chim.
Revue de l'Electricite et de l'Electronique	Rev. Electr. Electron.
Revue de Metallurgie / Cahiers d'Informations Techniques	Rev. Metall. / Cah. Inf. Tech.
Revue de Micropaleontologie	Rev. Micropaleontol.
Revue de Paleobiologie	Rev. Paleobiol.
Revue des Composites et des Materiaux Avances	Rev. Compos. Mater. Av.
Revue des Sciences de l'Eau	Rev. Sci. Eau
Revue Francaise de Geotechnique	Rev. Fr. Geotech.
Revue Francaise d'Oenologie	Rev. Fr. Oenol.
Revue Generale de Thermique	Rev. Gen. Therm.
Revue Generale des Caoutchoucs & Plastiques	Rev. Gen. Caoutch. Plast.
Revue Roumaine de Chimie	Rev. Roum. Chim.
Revue Roumaine de Geophysique	Rev. Roum. Geophys.
Revue Suisse d'Agriculture	Rev. Suisse Agric.
Revue Suisse de Viticulture et Aboriculture	Rev. Suisse Vitic. Aboric.
Revue Suisse de Zoologie	Rev. Suisse Zool.
Rheologica Acta	Rheol. Acta
RIAI Revista Iberoamericana de Automatica e Informatica Industrial	Rev. Iberoam. Autom. Inf. Ind.
RIC Reviews	RIC Rev.
Rice Science	Rice Sci.
Ricerca Scientifica	Ric. Sci.
Ricerche di Matematica	Ric. Mat.
Risk Analysis	Risk Anal.
River Research and Applications	River Res. Appl.
River Systems	River Syst.
Rivista dei Combustibili e dell'Industia Chimica	Riv. Combust. Ind. Chim.
RNA Biology	RNA Biol.
Road Materials and Pavement Design	Road Mater. Pavement Des.
Robotic Surgery: Research and Reviews	Rob. Surg.: Res. Rev.
Robotics and Autonomous Systems	Rob. Auton. Syst.
Robotics and Computer-Integrated Manufacturing	Rob. Comput. Integr. Manuf.
Rock Mechanics and Rock Engineering	Rock Mech. Rock Eng.
Rocks and Minerals	Rocks Miner.
Rocky Mountain Geology	Rocky Mt Geol.
RoFo Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin	RoFo Fortschr. Geb. Rontgenstr. Nuklearmed.
Romanian Agricultural Research	Rom. Agric. Res.
Romanian Biotechnology Letters	Rom. Biotechnol. Lett.
Romanian Journal of Biochemistry	Rom. J. Biochem.
Romanian Journal of Chemistry	Rom. J. Chem.
Romanian Journal of Legal Medicine	Rom. J. Legal Med.
Romanian Journal of Materials	Rom. J. Mater.
Romanian Journal of Physics	Rom. J. Phys.
"Royal Institute of Chemistry, Lecture Series"	R. Inst. Chem. Lect. Ser.
"Royal Institute of Chemistry, Lectures, Monographs, and Reports"	R. Inst. Chem. Lect. Monogr. Rep.
"Royal Institute of Chemistry, Reviews"	R. Inst. Chem. Rev.
Royal Society Open Science	R. Soc. Open Sci.
RSC Advances	RSC Adv.
RSC Chemical Biology	RSC Chem. Biol.
RSC Medicinal Chemistry	RSC Med. Chem.
RSC Sustainability	RSC Sustainability
Rubber Chemistry and Technology	Rubber Chem. Technol.
"Rural Landscapes: Society, Environment, History"	Rural Landscapes: Soc. Environ. Hist.
Russian Chemical Bulletin	Russ. Chem. Bull.
Russian Chemical Reviews	Russ. Chem. Rev.
Russian Engineering Research	Russ. Eng. Res.
Russian Geology and Geophysics	Russ. Geol. Geophys.
Russian Journal of Applied Chemistry	Russ. J. Appl. Chem.
Russian Journal of Bioorganic Chemistry	Russ. J. Bioorg. Chem.
Russian Journal of Coordination Chemistry	Russ. J. Coord. Chem.
Russian Journal of Earth Sciences	Russ. J. Earth Sci.
Russian Journal of Electrochemistry	Russ. J. Electrochem.
Russian Journal of General Chemistry	Russ. J. Gen. Chem.
Russian Journal of Genetics	Russ. J. Genet.
Russian Journal of Herpetology	Russ. J. Herpetol.
Russian Journal of Inorganic Chemistry	Russ. J. Inorg. Chem.
Russian Journal of Marine Biology	Russ. J. Mar. Biol.
Russian Journal of Mathematical Physics	Russ. J. Math. Phys.
Russian Journal of Nondestructive Testing	Russ. J. Nondestr. Test.
Russian Journal of Non-Ferrous Metals	Russ. J. Non-Ferrous Met.
Russian Journal of Numerical Analysis and Mathematical Modelling	Russ. J. Numer. Anal. Math. Model.
Russian Journal of Organic Chemistry	Russ. J. Org. Chem.
Russian Journal of Pacific Geology	Russ. J. Pac. Geol.
Russian Journal of Physical Chemistry	Russ. J. Phys. Chem.
